season,season_type,Week,week_num,Date,home_team,away_team,home_team_norm,away_team_norm,home_team_suffix,away_team_suffix,home_conf,home_div_initial,away_conf,away_div_initial,home_div,away_div,same_conf,same_div,home_conf_enc,away_conf_enc,home_div_enc,away_div_enc,is_international,home_field_advantage_pts,pre_elo_home_cont,pre_elo_away_cont,elo_diff_cont,expected_home_win_prob,home_win_proba
2025,regular,16.0,16.0,2025-12-21,New York Giants,Minnesota Vikings,New York Giants,Minnesota Vikings,NFC-E,NFC-N,NFC,E,NFC,N,East,North,1,0,1,1,0,1,0,-10.0,1299.4510719151358,1470.0095329233172,-170.55846100818144,0.26127001706085956,0.3818699993717216
2025,regular,16.0,16.0,2025-12-21,Carolina Panthers,Tampa Bay Buccaneers,Carolina Panthers,Tampa Bay Buccaneers,NFC-S,NFC-S,NFC,S,NFC,S,South,South,1,1,1,1,2,2,0,-10.0,1349.167695592134,1544.6846081794597,-195.5169125873258,0.23450416088336906,0.3979625044753903
2025,regular,16.0,16.0,2025-12-21,Arizona Cardinals,Atlanta Falcons,Arizona Cardinals,Atlanta Falcons,NFC-W,NFC-S,NFC,W,NFC,S,West,South,1,0,1,1,3,2,0,-10.0,1402.0935704538078,1374.579255068304,27.514315385503778,0.5251837972628943,0.6117263094371872
2025,regular,16.0,16.0,2025-12-21,Denver Broncos,Jacksonville Jaguars,Denver Broncos,Jacksonville Jaguars,AFC-W,AFC-S,AFC,W,AFC,S,West,South,1,0,0,0,3,2,0,46.60424669791215,1650.4357043956577,1488.9324608433517,161.503243552306,0.7681622164617614,0.7643219660846294
2025,regular,16.0,16.0,2025-12-21,Houston Texans,Las Vegas Raiders,Houston Texans,Las Vegas Raiders,AFC-S,AFC-W,AFC,S,AFC,W,South,West,1,0,0,0,2,3,0,-10.0,1618.369037837316,1277.255769955593,341.113267881723,0.8705737421795501,0.7673196949214112
2025,regular,16.0,16.0,2025-12-21,Detroit Lions,Pittsburgh Steelers,Detroit Lions,Pittsburgh Steelers,NFC-N,AFC-N,NFC,N,AFC,N,North,North,0,1,1,0,1,1,0,0.0736570053774791,1704.5651731052085,1476.6719649349352,227.89320817027328,0.7878948941242289,0.7917678694893627
2025,regular,16.0,16.0,2025-12-21,Miami Dolphins,Cincinnati Bengals,Miami Dolphins,Cincinnati Bengals,AFC-E,AFC-N,AFC,E,AFC,N,East,North,1,0,0,0,0,1,0,90.0,1442.2960578906586,1509.2332184088773,-66.93716051821866,0.5331414309354096,0.49288050501054315
2025,regular,16.0,16.0,2025-12-22,Indianapolis Colts,San Francisco 49ers,Indianapolis Colts,San Francisco 49ers,AFC-S,NFC-W,AFC,S,NFC,W,South,West,0,0,0,1,2,3,0,39.51273991373952,1494.317899610642,1556.489765582601,-62.17186597195905,0.46743705114471584,0.43286832628009964
2025,regular,17.0,17.0,2025-12-25,Washington Commanders,Dallas Cowboys,Washington Commanders,Dallas Cowboys,NFC-E,NFC-E,NFC,E,NFC,E,East,East,1,1,1,1,0,0,0,-10.0,1472.2911228496991,1472.683769685854,-0.3926468361548814,0.4850482380668597,0.46679762704991407
2025,regular,17.0,17.0,2025-12-25,Minnesota Vikings,Detroit Lions,Minnesota Vikings,Detroit Lions,NFC-N,NFC-N,NFC,N,NFC,N,North,North,1,1,1,1,1,1,0,76.45383967261307,1470.0095329233172,1704.5651731052085,-234.55564018189125,0.28697791715660487,0.3368062944172941
